frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1047.0,17.479131886477465,0.0009513564949536395,572:257,498:180,760:449:760:232:1071:232:1071:449,-2.37605942644351,0.375:-0.4583333333333333:0.08333333333333333
1048.0,17.495826377295494,0.0009513564949536395,575:247,507:163,760:449:760:232:1070:232:1070:449,-2.461071428922579,0.375:-0.4583333333333333:0.08333333333333333
1049.0,17.512520868113523,0.0009513564949536395,579:239,516:150,759:449:759:232:1070:232:1070:449,-2.5256075340819635,0.0:-1.4583333333333333:-0.08333333333333333
1050.0,17.529215358931552,0.0009513564949536395,584:234,525:141,760:449:760:232:1071:232:1071:449,-2.5762561928259102,0.16666666666666666:-3.0416666666666665:0.0
1051.0,17.545909849749584,0.0009513564949536395,589:231,534:136,759:449:759:232:1070:232:1070:449,-2.616796881939686,-0.16666666666666666:-4.958333333333333:-0.375
1052.0,17.562604340567614,0.0009513564949536395,594:232,542:135,760:449:760:232:1070:232:1070:449,-2.6494974364189647,-3.25:-5.0:-0.08333333333333333
1053.0,17.579298831385643,0.0009513564949536395,601:235,549:137,761:449:761:232:1070:232:1070:449,-2.653756214930151,-3.25:-5.0:-0.08333333333333333
1054.0,17.59599332220367,0.0009513564949536395,608:240,555:143,760:449:760:232:1070:232:1070:449,-2.64152391037448,-1.5:-2.9166666666666665:-0.08333333333333333
1055.0,17.612687813021704,0.0009513564949536395,615:247,561:152,761:449:761:233:1070:233:1070:449,-2.6247166830030855,-0.4583333333333333:-1.75:-0.5833333333333334
1056.0,17.629382303839733,0.0009513564949536395,623:257,565:164,761:449:761:233:1070:233:1070:449,-2.583960455933105,-0.7083333333333334:-1.0:0.0
1057.0,17.646076794657763,0.0009513564949536395,631:270,569:180,761:449:761:233:1070:233:1070:449,-2.538362800665108,-0.5:-0.5416666666666666:-0.041666666666666664
1058.0,17.66277128547579,0.0009513564949536395,641:283,571:199,760:449:760:233:1070:233:1070:449,-2.44685437739309,-0.5:-0.5416666666666666:-0.041666666666666664
1059.0,17.679465776293824,0.0009513564949536395,650:300,573:222,760:449:760:233:1070:233:1070:449,-2.3626460135853136,-0.375:-0.375:-0.041666666666666664
1060.0,17.696160267111853,0.0009513564949536395,658:319,574:250,761:449:761:233:1070:233:1070:449,-2.2584675828336263,-0.5416666666666666:-0.2916666666666667:0.08333333333333333
1061.0,17.712854757929883,0.0009513564949536395,668:339,575:283,761:449:761:232:1070:232:1070:449,-2.1127956045822276,-0.4583333333333333:-0.25:0.041666666666666664
1062.0,17.729549248747915,0.0009513564949536395,679:362,579:318,761:449:761:233:1070:233:1070:449,-1.9853032013796825,-0.375:-0.20833333333333334:0.0
1063.0,17.746243739565944,0.0009513564949536395,690:387,585:361,832:449:832:233:1071:233:1071:449,-1.813532841212667,-0.375:-0.20833333333333334:0.0
1064.0,17.762938230383973,0.0009513564949536395,702:414,596:410,850:449:850:233:1071:233:1071:449,-1.6085142792617608,-0.4166666666666667:-0.2916666666666667:0.08333333333333333
1065.0,17.779632721202002,0.0009513564949536395,716:442,611:459,864:449:864:233:1071:233:1071:449,-1.4102844013130376,-0.4166666666666667:-0.5:0.041666666666666664
1066.0,17.796327212020035,0.0009513564949536395,731:471,632:510,873:449:873:233:1071:233:1071:449,-1.1955255039389392,-0.2916666666666667:-0.625:0.0
1067.0,17.813021702838064,0.0009513564949536395,745:496,666:565,874:449:874:233:1071:233:1071:449,-0.852863187919353,-0.4166666666666667:-1.375:-0.08333333333333333
1068.0,17.829716193656093,0.0009513564949536395,764:523,716:616,866:449:866:233:1071:233:1071:449,-0.4764674194737067,-0.4166666666666667:-1.375:-0.08333333333333333
1069.0,17.846410684474122,0.0009513564949536395,806:542,782:646,853:449:853:233:1071:233:1071:449,-0.22679884805388587,-0.4583333333333333:-2.4166666666666665:-0.25
1070.0,17.863105175292155,0.0009513564949536395,849:536,860:644,847:449:847:233:1071:233:1071:449,0.10150183100595321,-0.3333333333333333:-2.9166666666666665:-0.20833333333333334
1071.0,17.879799666110184,0.0009513564949536395,876:525,928:619,849:449:849:233:1071:233:1071:449,0.5052901880993945,-0.041666666666666664:-2.8333333333333335:-0.3333333333333333
1072.0,17.896494156928213,0.0009513564949536395,910:510,986:588,861:449:861:233:1071:233:1071:449,0.7724118804772758,-0.125:-0.8333333333333334:0.16666666666666666
1073.0,17.913188647746246,0.0009513564949536395,944:495,1034:556,876:449:876:233:1071:233:1071:449,0.9751408114291862,-0.125:-0.8333333333333334:0.16666666666666666
1074.0,17.929883138564275,0.0009513564949536395,977:480,1083:517,1069:449:893:447:896:230:1072:233,1.2349621965753943,0.08333333333333333:-0.2916666666666667:0.0
1075.0,17.946577629382304,0.0009513564949536395,1010:465,1119:495,1063:449:915:439:931:223:1079:233,1.3022168962760163,0.041666666666666664:-0.20833333333333334:0.0
1076.0,17.963272120200333,0.0009513564949536395,1043:452,1154:468,762:449:762:234:898:234:898:449,1.4276382388112479,0.125:-0.125:0.041666666666666664
1077.0,17.979966611018366,0.0009513564949536395,1076:442,1188:448,762:450:762:232:929:232:929:450,1.5172760583355815,0.125:-0.041666666666666664:0.041666666666666664
1078.0,17.996661101836395,0.0009513564949536395,1108:432,1220:431,761:449:761:232:954:232:954:449,1.5797246609747333,0.125:-0.041666666666666664:0.041666666666666664
1079.0,18.013355592654424,0.0009513564949536395,1140:424,1252:420,762:449:762:233:986:233:986:449,1.6064954394742206,0.041666666666666664:0.0:0.041666666666666664
1080.0,18.030050083472453,0.0009513564949536395,1172:416,1284:414,762:449:762:233:1018:233:1018:449,1.5886515719344492,0.125:0.0:0.08333333333333333
1081.0,18.046744574290486,0.0009513564949536395,1202:410,1315:413,762:449:762:232:1064:232:1064:449,1.5442538890434994,0.20833333333333334:-0.041666666666666664:0.125
1082.0,18.063439065108515,0.0009513564949536395,1232:405,1345:419,762:449:762:233:1068:233:1068:449,1.4475306564359975,0.25:-0.041666666666666664:0.125
1083.0,18.080133555926544,0.0009513564949536395,1259:401,1371:429,762:449:762:233:1071:233:1071:449,1.3258176636680326,0.25:-0.041666666666666664:0.125
1084.0,18.096828046744573,0.0009513564949536395,1285:398,1392:440,762:449:762:232:1072:232:1072:449,1.1967518952789622,0.25:-0.041666666666666664:0.125
1085.0,18.113522537562606,0.0009513564949536395,1306:395,1402:455,762:449:762:232:1073:232:1073:449,1.0121970114513341,0.4583333333333333:-0.4166666666666667:0.08333333333333333
1086.0,18.130217028380635,0.0009513564949536395,1319:388,1398:468,761:449:761:233:1072:233:1072:449,0.7791089381447409,0.5416666666666666:-1.0416666666666667:0.125
1087.0,18.146911519198664,0.0009513564949536395,1324:377,1383:474,761:449:761:233:1072:233:1072:449,0.5464617228112849,0.4166666666666667:-2.5:0.08333333333333333
1088.0,18.163606010016697,0.0009513564949536395,1321:364,1363:471,761:449:761:233:1071:233:1071:449,0.37404443151593436,0.4166666666666667:-2.5:0.08333333333333333
1089.0,18.180300500834726,0.0009513564949536395,1316:351,1341:463,761:449:761:233:1071:233:1071:449,0.2196141251765998,-0.20833333333333334:-4.833333333333333:-0.375
1090.0,18.196994991652755,0.0009513564949536395,1295:341,1318:457,761:449:761:233:1071:233:1071:449,0.1957371865774664,-0.9583333333333334:-4.291666666666667:-0.5416666666666666
1091.0,18.213689482470784,0.0009513564949536395,1283:334,1298:449,761:449:761:233:1071:233:1071:449,0.1297025371559121,-0.7083333333333334:-1.8333333333333333:0.08333333333333333
1092.0,18.230383973288816,0.0009513564949536395,1272:329,1279:442,761:449:761:233:1071:233:1071:449,0.061867845864380024,-0.6666666666666666:-1.1666666666666667:0.041666666666666664
1093.0,18.247078464106846,0.0009513564949536395,1256:324,1259:437,761:449:761:233:1071:233:1071:449,0.02654243775139719,-0.6666666666666666:-1.1666666666666667:0.041666666666666664
1094.0,18.263772954924875,0.0009513564949536395,1252:324,1241:436,761:449:761:233:1071:233:1071:449,-0.09790030773846166,-0.7083333333333334:-0.9166666666666666:0.08333333333333333
1095.0,18.280467445742904,0.0009513564949536395,1238:324,1224:436,761:449:761:233:1071:233:1071:449,-0.12435499454676144,-0.5416666666666666:-0.5833333333333334:0.08333333333333333
1096.0,18.297161936560936,0.0009513564949536395,1228:329,1207:439,761:449:761:233:1071:233:1071:449,-0.18863921622450308,-0.5:-0.75:0.0
1097.0,18.313856427378965,0.0009513564949536395,1218:337,1192:446,761:449:761:233:1071:233:1071:449,-0.23415657480980062,-0.625:-1.0416666666666667:0.125
1098.0,18.330550918196995,0.0009513564949536395,1207:347,1176:455,761:449:761:233:1071:233:1071:449,-0.2795221522836403,-0.625:-1.0416666666666667:0.125
1099.0,18.347245409015027,0.0009513564949536395,1194:361,1162:465,761:449:761:233:1071:233:1071:449,-0.2984989315861793,-0.625:-1.1666666666666667:0.08333333333333333
1100.0,18.363939899833056,0.0009513564949536395,1182:377,1150:482,761:449:761:233:1071:233:1071:449,-0.2958197685389974,-0.8333333333333334:-2.0416666666666665:0.041666666666666664
1101.0,18.380634390651085,0.0009513564949536395,1170:397,1138:502,761:449:761:233:1071:233:1071:449,-0.2958197685389974,-0.625:-4.0:-0.3333333333333333
