time,m_per_pixel,g_center,r_center,rect_points,angle
4.366666666666666,0.0010028654386960943,457:756,355:822,513:508:483:300:776:257:806:465,-57.094757077012105
4.383333333333334,0.0010028654386960943,479:782,387:863,513:507:483:299:776:257:806:465,-48.638186577864666
4.4,0.0010028654386960943,504:806,424:898,513:507:483:299:776:257:806:465,-41.00908690157022
4.416666666666667,0.0010028654386960943,532:826,469:933,513:507:483:299:776:257:806:465,-30.488940499830935
4.433333333333334,0.0010028654386960943,567:844,519:960,513:508:483:300:776:257:806:465,-22.479434397103113
4.45,0.0010028654386960943,607:858,573:980,513:508:483:300:776:256:806:465,-15.572543596810263
4.466666666666667,0.0010028654386960943,649:866,632:992,513:508:483:300:776:257:806:465,-7.683981829733963
4.483333333333333,0.0010028654386960943,691:866,695:996,513:508:483:300:776:257:806:465,1.7623910236605125
4.5,0.0010028654386960943,731:861,754:990,513:508:483:300:776:257:806:465,10.109298492495174
4.516666666666667,0.0010028654386960943,771:849,815:973,513:508:483:300:776:257:806:465,19.536654938128386
4.533333333333333,0.0010028654386960943,803:834,870:949,513:508:483:300:776:257:806:465,30.225449724953418
4.55,0.0010028654386960943,836:812,921:916,513:508:483:300:776:257:806:465,39.25939336104809
4.566666666666666,0.0010028654386960943,865:787,964:880,513:507:483:299:776:257:806:465,46.78991060824607
4.583333333333333,0.0010028654386960943,889:760,997:843,513:507:483:299:776:257:806:465,52.45705514023531
4.6,0.0010028654386960943,908:731,1026:801,513:508:483:300:776:257:806:465,59.32271997820356
4.616666666666666,0.0010028654386960943,922:703,1047:759,513:508:483:300:776:257:806:465,65.86762040541919
4.633333333333334,0.0010028654386960943,932:676,1062:718,513:507:483:299:776:257:806:465,72.0955524937518
4.65,0.0010028654386960943,939:650,1073:682,513:507:483:300:776:257:806:465,76.56897112931834
4.666666666666667,0.0010028654386960943,942:627,1078:646,513:507:483:300:776:257:806:465,82.04691802856158
4.683333333333334,0.0010028654386960943,944:606,1080:618,513:507:483:299:776:257:806:465,84.95754893082909
4.7,0.0010028654386960943,944:588,1080:593,513:508:483:300:776:257:806:465,87.89448581114397
